Ns changes	Ns	time/s	voltage_measured	I/mA	(Q-Qo)/mA.h	Energy charge/W.h	Energy discharge/W.h	step time/s	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	P/W	R/Ohm	Temperature/ï¿½C	Unnamed: 16	operator_notes
0	1	90.72400430915876	3.4915519	-899.86578	-20.17310201534695	0.0	0.0705531158460829	90.72400430915876	20.17310201534697	0.0	20.17310201534697	0.0	-3.141928	3.8800807	22.721876		
0	1	90.82400431390852	3.4915519	-899.86578	-20.19809872511122	0.0	0.07064039253038194	90.82400431390852	20.19809872511124	0.0	20.19809872511124	0.0	-3.141928	3.8800807	22.73764		
0	1	90.92400431865826	3.4914732	-899.94458	-20.22309548963759	0.0	0.07072766873711481	90.92400431865826	20.22309548963761	0.0	20.22309548963761	0.0	-3.1421323	3.8796535	22.619404		
0	1	91.024004323408	3.4914339	-899.90515	-20.24809202426487	0.0	0.07081494392483181	91.024004323408	20.24809202426489	0.0	20.24809202426489	0.0	-3.1419594	3.8797798	22.63517		
0	1	91.12400432815777	3.4914732	-899.82635	-20.2730887886556	0.0	0.07090221967854818	91.12400432815777	20.27308878865562	0.0	20.27308878865562	0.0	-3.1417196	3.8801632	22.706112		
0	1	91.2240043329075	3.4914339	-899.8855	-20.29808489637587	0.0	0.07098949282443576	91.2240043329075	20.29808489637589	0.0	20.29808489637589	0.0	-3.1418908	3.8798645	22.611523		
0	1	91.32400433765724	3.4914339	-899.98395	-20.32308098239475	0.0	0.07107676563883464	91.32400433765724	20.32308098239477	0.0	20.32308098239477	0.0	-3.1422343	3.8794401	22.674582		
0	1	91.424004342407	3.4915125	-899.84613	-20.34807756076389	0.0	0.07116404003512912	91.424004342407	20.34807756076391	0.0	20.34807756076391	0.0	-3.141824	3.8801217	22.627287		
0	1	91.52400434715672	3.4913945	-899.8855	-20.37307385457357	0.0	0.0712513128266059	91.52400434715672	20.37307385457359	0.0	20.37307385457359	0.0	-3.1418552	3.8798208	22.729759		
0	1	91.62400435190648	3.4913945	-899.82635	-20.3980697873603	0.0	0.07133858435750326	91.62400435190648	20.39806978736032	0.0	20.39806978736032	0.0	-3.1416488	3.8800759	22.808584		
